dates,values,spike/deep
14:11:36:145590,0.5847274263699849,-1
14:11:36:205738,0.5903872152169545,-1
14:11:36:254337,0.5956547955671947,-1
14:11:36:324413,0.6055932541688283,-1
14:11:36:378841,0.6124452551205952,-1
14:11:36:440062,0.6176685790220897,-1
14:11:36:485543,0.6230322519938152,0
14:11:36:550177,0.6357002357641857,0
14:11:36:610167,0.6406292915344238,0
14:11:36:658311,0.6469523906707764,0
14:11:36:719569,0.652475078900655,0
14:11:36:783478,0.6593039830525715,0
14:11:36:845600,0.6648910045623779,0
14:11:36:906719,0.6705738504727681,0
14:11:36:967808,0.6798532605171204,0
14:11:37:036772,0.6878968874613445,0
14:11:37:094636,0.6948290069897969,0
14:11:37:154851,0.6979773491621017,0
14:11:37:218454,0.7074184666077297,0
14:11:37:280351,0.7107487469911575,0
14:11:37:356823,0.718148797750473,0
14:11:37:414641,0.7209678937991459,0
14:11:37:474619,0.735157738129298,0
14:11:37:531126,0.7401973555485408,0
